sequence,rx_monotonic_ns,receive_interval_ms,latency_ms,operator_powered,operator_enabled,operator_dragging,tracking_powered,mapper_armed,operator_j1,operator_j2,operator_j3,operator_j4,operator_j5,operator_j6,tracking_j1,tracking_j2,tracking_j3,tracking_j4,tracking_j5,tracking_j6,target_j1,target_j2,target_j3,target_j4,target_j5,target_j6
1211,22653909891053,8.016454,0.112696,1,1,1,1,1,1.891139,0.069297,-1.429856,-0.234182,-1.716586,0.407035,0.000026,2.101491,-2.094901,0.000022,-1.574993,-0.000007,0.000026,2.101491,-2.094901,0.000022,-1.574993,-0.000007
1212,22653918412991,8.521938,0.110066,1,1,1,1,1,1.891139,0.069297,-1.429856,-0.234182,-1.716586,0.407035,0.000026,2.101491,-2.094901,0.000022,-1.574993,-0.000007,0.000026,2.101491,-2.094901,0.000022,-1.574993,-0.000007
1213,22653925910702,7.497711,0.110842,1,1,1,1,1,1.891139,0.069297,-1.429856,-0.234182,-1.716586,0.407035,0.000026,2.101491,-2.094901,0.000022,-1.574993,-0.000007,0.000026,2.101491,-2.094901,0.000022,-1.574993,-0.000007
1214,22653933958432,8.047730,0.117716,1,1,1,1,1,1.891139,0.069297,-1.429856,-0.234182,-1.716586,0.407035,0.000026,2.101491,-2.094901,0.000022,-1.574993,-0.000007,0.000026,2.101491,-2.094901,0.000022,-1.574993,-0.000007
1215,22653941927673,7.969241,0.114338,1,1,1,1,1,1.891139,0.069297,-1.429856,-0.234182,-1.716586,0.407035,0.000026,2.101491,-2.094901,0.000022,-1.574993,-0.000007,0.000026,2.101491,-2.094901,0.000022,-1.574993,-0.000007
1216,22653949871152,7.943479,0.112409,1,1,1,1,1,1.891139,0.069297,-1.429868,-0.234182,-1.716586,0.407035,0.000026,2.101491,-2.094901,0.000022,-1.574993,-0.000007,0.000026,2.101491,-2.094913,0.000022,-1.574993,-0.000007
1217,22653957775631,7.904479,0.046470,1,1,1,1,1,1.891139,0.069297,-1.429868,-0.234182,-1.716598,0.407035,0.000026,2.101491,-2.094901,0.000022,-1.574993,-0.000007,0.000026,2.101491,-2.094913,0.000022,-1.575005,-0.000007
1218,22653965792023,8.016392,0.110074,1,1,1,1,1,1.891139,0.069297,-1.429868,-0.234182,-1.716598,0.407035,0.000026,2.101491,-2.094901,0.000022,-1.574993,-0.000007,0.000026,2.101491,-2.094913,0.000022,-1.575005,-0.000007
1219,22653973852172,8.060149,0.105854,1,1,1,1,1,1.891139,0.069297,-1.429868,-0.234182,-1.716598,0.407035,0.000026,2.101491,-2.094901,0.000022,-1.574993,-0.000007,0.000026,2.101491,-2.094913,0.000022,-1.575005,-0.000007
1220,22653981839071,7.986899,0.106020,1,1,1,1,1,1.891139,0.069297,-1.429868,-0.234182,-1.716598,0.407035,0.000026,2.101491,-2.094901,0.000022,-1.574993,-0.000007,0.000026,2.101491,-2.094913,0.000022,-1.575005,-0.000007
