[FOLLOWER] PID=329469, IP=192.168.0.102
try to connect: 192.168.0.102
connect success
[FOLLOWER] login_ret=0
[FOLLOWER] sample=0, status_ret=0, joint_ret=0, powered_on=1, enabled=1, errcode=0
[FOLLOWER] joints_rad=[0.000000, 2.094395, -2.094395, 0.000000, -1.570796, 0.000000]
[FOLLOWER] sample=1, status_ret=0, joint_ret=0, powered_on=1, enabled=1, errcode=0
[FOLLOWER] joints_rad=[0.000000, 2.094395, -2.094395, 0.000000, -1.570796, 0.000000]
[FOLLOWER] sample=2, status_ret=0, joint_ret=0, powered_on=1, enabled=1, errcode=0
[FOLLOWER] joints_rad=[0.000000, 2.094395, -2.094395, 0.000000, -1.570796, 0.000000]
[FOLLOWER] sample=3, status_ret=0, joint_ret=0, powered_on=1, enabled=1, errcode=0
[FOLLOWER] joints_rad=[0.000000, 2.094395, -2.094395, 0.000000, -1.570796, 0.000000]
[FOLLOWER] sample=4, status_ret=0, joint_ret=0, powered_on=1, enabled=1, errcode=0
[FOLLOWER] joints_rad=[0.000000, 2.094395, -2.094395, 0.000000, -1.570796, 0.000000]
[FOLLOWER] sample=5, status_ret=0, joint_ret=0, powered_on=1, enabled=1, errcode=0
[FOLLOWER] joints_rad=[0.000000, 2.094395, -2.094395, 0.000000, -1.570796, 0.000000]
[FOLLOWER] sample=6, status_ret=0, joint_ret=0, powered_on=1, enabled=1, errcode=0
[FOLLOWER] joints_rad=[0.000000, 2.094395, -2.094395, 0.000000, -1.570796, 0.000000]
[FOLLOWER] sample=7, status_ret=0, joint_ret=0, powered_on=1, enabled=1, errcode=0
[FOLLOWER] joints_rad=[0.000000, 2.094395, -2.094395, 0.000000, -1.570796, 0.000000]
[FOLLOWER] sample=8, status_ret=0, joint_ret=0, powered_on=1, enabled=1, errcode=0
[FOLLOWER] joints_rad=[0.000000, 2.094395, -2.094395, 0.000000, -1.570796, 0.000000]
[FOLLOWER] sample=9, status_ret=0, joint_ret=0, powered_on=1, enabled=1, errcode=0
[FOLLOWER] joints_rad=[0.000000, 2.094395, -2.094395, 0.000000, -1.570796, 0.000000]
[FOLLOWER] logout_ret=0
